1	31108.00	21510.00
2	33198.00	21711.00
3	33971.00	21153.00
4	34492.00	21126.00
5	34968.00	20829.00
6	34451.00	20344.00
7	34446.00	21876.00
8	35366.00	21098.00
9	35105.00	21967.00
10	35622.00	21249.00
11	34186.00	23028.00
12	34890.00	22823.00
13	35411.00	22832.00
14	35393.00	21977.00
15	35416.00	22621.00
16	35416.00	22396.00
17	35635.00	22845.00
18	35887.00	21977.00
19	35887.00	22182.00
20	36308.00	22416.00
21	35997.00	22512.00
22	36308.00	21981.00
23	35882.00	21259.00
24	36317.00	21259.00
25	35882.00	21560.00
26	36715.00	21986.00
27	36308.00	21570.00
28	36710.00	21579.00
29	36719.00	21263.00
30	37122.00	21263.00
31	37122.00	21570.00
32	37529.00	21268.00
33	37533.00	21570.00
34	37556.00	21963.00
35	35878.00	20723.00
36	36321.00	20728.00
37	36724.00	20728.00
38	37122.00	20737.00
39	37538.00	20746.00
40	37156.00	19829.00
41	36436.00	19281.00
42	35972.00	18587.00
43	35774.00	17851.00
44	36055.00	17027.00
45	39363.00	17001.00
46	39184.00	17664.00
47	38992.00	18167.00
48	38960.00	18620.00
49	39367.00	18624.00
50	38036.00	17536.00
51	38046.00	17961.00
52	38055.00	18684.00
53	38402.00	19059.00
54	38942.00	19105.00
55	38736.00	19809.00
56	39175.00	19973.00
57	38544.00	20339.00
58	38517.00	20554.00
59	37949.00	20567.00
60	38343.00	20742.00
61	38507.00	21048.00
62	37524.00	21048.00
63	37945.00	21048.00
64	38164.00	21044.00
65	38512.00	21249.00
66	37954.00	21560.00
67	37753.00	21958.00
68	37950.00	21762.00
69	38343.00	21560.00
70	38896.00	21547.00
71	38164.00	21963.00
72	39706.00	21542.00
73	39084.00	21542.00
74	38690.00	21894.00
75	38924.00	22155.00
76	39189.00	22310.00
77	39660.00	22438.00
78	39985.00	22388.00
79	40735.00	22018.00
80	38686.00	21158.00
81	39193.00	20911.00
82	39180.00	21249.00
83	40008.00	21538.00
84	41050.00	21327.00
